title,id,release_date,overview,genres,poster_url,backdrop_url,local_poster_path,local_banner_path
Gladiator II,558449,2024-11-05,"Years after witnessing the death of the revered hero Maximus at the hands of his uncle, Lucius is forced to enter the Colosseum after his home is conquered by the tyrannical Emperors who now lead Rome with an iron fist. With rage in his heart and the future of the Empire at stake, Lucius must look to his past to find strength and honor to return the glory of Rome to its people.","Action, Adventure, Drama",https://image.tmdb.org/t/p/w500/2cxhvwyEwRlysAmRH4iodkvo0z5.jpg,https://image.tmdb.org/t/p/w500/euYIwmwkmz95mnXvufEmbL6ovhZ.jpg,movie_images\posters\558449_Gladiator_II_poster.jpg,movie_images\banners\558449_Gladiator_II_banner.jpg
Wicked,402431,2024-11-20,"In the land of Oz, ostracized and misunderstood green-skinned Elphaba is forced to share a room with the popular aristocrat Glinda at Shiz University, and the two's unlikely friendship is tested as they begin to fulfill their respective destinies as Glinda the Good and the Wicked Witch of the West.","Drama, Romance, Fantasy",https://image.tmdb.org/t/p/w500/xDGbZ0JJ3mYaGKy4Nzd9Kph6M9L.jpg,https://image.tmdb.org/t/p/w500/uKb22E0nlzr914bA9KyA5CVCOlV.jpg,movie_images\posters\402431_Wicked_poster.jpg,movie_images\banners\402431_Wicked_banner.jpg
Sonic the Hedgehog 3,939243,2024-12-19,"Sonic, Knuckles, and Tails reunite against a powerful new adversary, Shadow, a mysterious villain with powers unlike anything they have faced before. With their abilities outmatched in every way, Team Sonic must seek out an unlikely alliance in hopes of stopping Shadow and protecting the planet.","Action, Science Fiction, Comedy, Family",https://image.tmdb.org/t/p/w500/d8Ryb8AunYAuycVKDp5HpdWPKgC.jpg,https://image.tmdb.org/t/p/w500/zOpe0eHsq0A2NvNyBbtT6sj53qV.jpg,movie_images\posters\939243_Sonic_the_Hedgehog_3_poster.jpg,movie_images\banners\939243_Sonic_the_Hedgehog_3_banner.jpg
Moana 2,1241982,2024-11-21,"After receiving an unexpected call from her wayfinding ancestors, Moana journeys alongside Maui and a new crew to the far seas of Oceania and into dangerous, long-lost waters for an adventure unlike anything she's ever faced.","Animation, Adventure, Family, Comedy, Mystery",https://image.tmdb.org/t/p/w500/aLVkiINlIeCkcZIzb7XHzPYgO6L.jpg,https://image.tmdb.org/t/p/w500/zo8CIjJ2nfNOevqNajwMRO6Hwka.jpg,movie_images\posters\1241982_Moana_2_poster.jpg,movie_images\banners\1241982_Moana_2_banner.jpg
Carry-On,1005331,2024-12-05,An airport security officer races to outsmart a mysterious traveler forcing him to let a dangerous item slip onto a Christmas Eve flight.,"Thriller, Action",https://image.tmdb.org/t/p/w500/sjMN7DRi4sGiledsmllEw5HJjPy.jpg,https://image.tmdb.org/t/p/w500/6RcBQkC2PZJwwbFugqzgvN3moYL.jpg,movie_images\posters\1005331_Carry-On_poster.jpg,movie_images\banners\1005331_Carry-On_banner.jpg
Flow,823219,2024-08-29,"A solitary cat, displaced by a great flood, finds refuge on a boat with various species and must navigate the challenges of adapting to a transformed world together.","Animation, Fantasy, Adventure",https://image.tmdb.org/t/p/w500/imKSymKBK7o73sajciEmndJoVkR.jpg,https://image.tmdb.org/t/p/w500/b3mdmjYTEL70j7nuXATUAD9qgu4.jpg,movie_images\posters\823219_Flow_poster.jpg,movie_images\banners\823219_Flow_banner.jpg
Despicable Me 4,519182,2024-06-20,"Gru and Lucy and their girls—Margo, Edith and Agnes—welcome a new member to the Gru family, Gru Jr., who is intent on tormenting his dad. Gru also faces a new nemesis in Maxime Le Mal and his femme fatale girlfriend Valentina, forcing the family to go on the run.","Animation, Family, Comedy, Science Fiction",https://image.tmdb.org/t/p/w500/wWba3TaojhK7NdycRhoQpsG0FaH.jpg,https://image.tmdb.org/t/p/w500/lgkPzcOSnTvjeMnuFzozRO5HHw1.jpg,movie_images\posters\519182_Despicable_Me_4_poster.jpg,movie_images\banners\519182_Despicable_Me_4_banner.jpg
Inside Out 2,1022789,2024-06-11,"Teenager Riley's mind headquarters is undergoing a sudden demolition to make room for something entirely unexpected: new Emotions! Joy, Sadness, Anger, Fear and Disgust, who’ve long been running a successful operation by all accounts, aren’t sure how to feel when Anxiety shows up. And it looks like she’s not alone.","Animation, Adventure, Comedy, Family",https://image.tmdb.org/t/p/w500/vpnVM9B6NMmQpWeZvzLvDESb2QY.jpg,https://image.tmdb.org/t/p/w500/p5ozvmdgsmbWe0H8Xk7Rc8SCwAB.jpg,movie_images\posters\1022789_Inside_Out_2_poster.jpg,movie_images\banners\1022789_Inside_Out_2_banner.jpg
Deadpool & Wolverine,533535,2024-07-24,"A listless Wade Wilson toils away in civilian life with his days as the morally flexible mercenary, Deadpool, behind him. But when his homeworld faces an existential threat, Wade must reluctantly suit-up again with an even more reluctant Wolverine.","Action, Comedy, Science Fiction",https://image.tmdb.org/t/p/w500/8cdWjvZQUExUUTzyp4t6EDMubfO.jpg,https://image.tmdb.org/t/p/w500/by8z9Fe8y7p4jo2YlW2SZDnptyT.jpg,movie_images\posters\533535_Deadpool_&_Wolverine_poster.jpg,movie_images\banners\533535_Deadpool_&_Wolverine_banner.jpg
Alien: Romulus,945961,2024-08-13,"While scavenging the deep ends of a derelict space station, a group of young space colonizers come face to face with the most terrifying life form in the universe.","Horror, Science Fiction",https://image.tmdb.org/t/p/w500/b33nnKl1GSFbao4l3fZDDqsMx0F.jpg,https://image.tmdb.org/t/p/w500/eP4RZSHliWu6lPT5WQyHr5ZZKuC.jpg,movie_images\posters\945961_Alien:_Romulus_poster.jpg,movie_images\banners\945961_Alien:_Romulus_banner.jpg
