title,id,release_date,overview,genres,poster_url,backdrop_url
A Christmas Carol,17979,2009-11-04,"Miser Ebenezer Scrooge is awakened on Christmas Eve by spirits who reveal to him his own miserable existence, what opportunities he wasted in his youth, his current cruelties, and the dire fate that awaits him if he does not change his ways. Scrooge is faced with his own story of growing bitterness and meanness, and must decide what his own future will hold: death or redemption.","Animation, Family, Fantasy",https://image.tmdb.org/t/p/w500/goHDZUnqZJ7FN4h48Qh6MzJNExl.jpg,https://image.tmdb.org/t/p/w500/bFntIQxWBwtzYAFc68xF1GKAfiv.jpg
National Treasure: Book of Secrets,6637,2007-12-13,"Benjamin Franklin Gates and Abigail Chase re-team with Riley Poole and, now armed with a stack of long-lost pages from John Wilkes Booth's diary, Ben must follow a clue left there to prove his ancestor's innocence in the assassination of Abraham Lincoln.","Action, Adventure, Mystery, Thriller",https://image.tmdb.org/t/p/w500/xxoIBbvmTj1ZttzV439jAvoovTw.jpg,https://image.tmdb.org/t/p/w500/njvvh0OvwJCda03uMGbK8xTIbqf.jpg
Planes: Fire & Rescue,218836,2014-07-17,"When world-famous air racer Dusty learns that his engine is damaged and he may never race again, he must shift gears and is launched into the world of aerial firefighting. Dusty joins forces with veteran fire and rescue helicopter Blade Ranger and his team, a bunch of all-terrain vehicles known as The Smokejumpers. Together, the fearless team battles a massive wildfire, and Dusty learns what it takes to become a true hero.","Animation, Comedy, Adventure, Family",https://image.tmdb.org/t/p/w500/pOmteFeBDI9FJOPTDvYJYFeAtdp.jpg,https://image.tmdb.org/t/p/w500/9GRprCMQOWJzczPxqAaGxYft5m9.jpg
G-Force,19585,2009-07-24,"A team of trained secret agent animals, guinea pigs Darwin, Hurley, Juarez, Blaster, mole Speckles, and fly Mooch takes on a mission for the US government to stop evil Leonard Saber, who plans to destroy the world with household appliances. But the government shuts them down and they are sentenced to a pet shop. Can they escape to defeat the villain and save the world?","Animation, Family, Fantasy, Action, Adventure, Comedy",https://image.tmdb.org/t/p/w500/fkqcF21HKZPvCwO6BHPa3aCRaxz.jpg,https://image.tmdb.org/t/p/w500/xgic8uEqzzhc0YimHGsWSQWMduE.jpg
The Lone Ranger,57201,2013-07-03,"The Texas Rangers chase down a gang of outlaws led by Butch Cavendish, but the gang ambushes the Rangers, seemingly killing them all. One survivor is found, however, by an American Indian named Tonto, who nurses him back to health. The Ranger, donning a mask and riding a white stallion named Silver, teams up with Tonto to bring the unscrupulous gang and others of that ilk to justice.","Action, Adventure, Western",https://image.tmdb.org/t/p/w500/xRmsqvHnaWmrazJl9bTBqs4LAjp.jpg,https://image.tmdb.org/t/p/w500/vHd8RTXTGFwexUC2Mj1HOgSy9J3.jpg
Strange World,877269,2022-11-23,"A journey deep into an uncharted and treacherous land, where fantastical creatures await the legendary Clades—a family of explorers whose differences threaten to topple their latest, and by far most crucial, mission.","Animation, Family, Adventure, Science Fiction, Fantasy",https://image.tmdb.org/t/p/w500/szpzEL2rjXQLzaoZqH1EnBQWtZE.jpg,https://image.tmdb.org/t/p/w500/5wDBVictj4wUYZ31gR5WzCM9dLD.jpg
Beverly Hills Chihuahua,14405,2008-10-03,"A pampered Beverly Hills chihuahua named Chloe who, while on vacation in Mexico with her owner Viv's niece, Rachel, gets lost and must rely on her friends to help her get back home before she is caught by a dognapper who wants to ransom her.","Comedy, Family, Adventure, Romance",https://image.tmdb.org/t/p/w500/2aRvqtLoE06hTjG93lASvO7r1as.jpg,https://image.tmdb.org/t/p/w500/vKCiYKgTYVlsDaecEKFOYG7ZM15.jpg
Night at the Museum: Kahmunrah Rises Again,751741,2022-12-08,"Nick Daley is following in his father's footsteps as night watchman at the American Museum of Natural History, so he knows what happens when the sun goes down. But when the maniacal ruler Kahmunrah escapes, it is up to Nick to save the museum once and for all.","Animation, Comedy, Family, Fantasy",https://image.tmdb.org/t/p/w500/rEy4VFXn3fukXRhx8TnSZtOnlcm.jpg,https://image.tmdb.org/t/p/w500/6rax7iv5yQtldc3ApEvrheJf8uw.jpg
The Three Musketeers,10057,1993-11-11,"D'Artagnan travels to Paris hoping to become a musketeer, one of the French king's elite bodyguards, only to discover that the corps has been disbanded by conniving Cardinal Richelieu, who secretly hopes to usurp the throne. Fortunately, Athos, Porthos and Aramis have refused to lay down their weapons and continue to protect their king. D'Artagnan joins with the rogues to expose Richelieu's plot against the crown.","Action, Adventure, Comedy",https://image.tmdb.org/t/p/w500/mk8UH7JRmK8adcqJJpB1ygP7B1C.jpg,https://image.tmdb.org/t/p/w500/1M7eNvLkrAbhQDbcoBnVfzanHcT.jpg
Crater,620705,2023-05-12,"After the death of his father, a boy growing up on a lunar mining colony takes a trip to explore a legendary crater, along with his four best friends, prior to being permanently relocated to another planet.","Science Fiction, Action, Adventure, Family",https://image.tmdb.org/t/p/w500/n8ZpMwYT02XjpQHpSxn1eJw5Zpz.jpg,https://image.tmdb.org/t/p/w500/wUMDnvi1xa8iMEpRDVAXrcAtqus.jpg
The Kid,4244,2000-07-07,"Powerful businessman Russ Duritz is self-absorbed and immersed in his work. But by the magic of the moon, he meets Rusty, a chubby, charming 8-year-old version of himself who can't believe he could turn out so badly – with no life and no dog. With Rusty's help, Russ is able to reconcile the person he used to dream of being with the man he's actually become.","Fantasy, Comedy, Family",https://image.tmdb.org/t/p/w500/kMRZhiF08nDiO5aRb81Np5a4d6p.jpg,https://image.tmdb.org/t/p/w500/jEMYEoQw7jF0aoKRgaa1TbHojUT.jpg
Mary Poppins Returns,400650,2018-12-13,"Mary Poppins returns to the Banks family and helps them evade grave dangers by taking them on magical, musical adventures.","Fantasy, Family, Comedy",https://image.tmdb.org/t/p/w500/uTVGku4LibMGyKgQvjBtv3OYfAX.jpg,https://image.tmdb.org/t/p/w500/oGzToOBTRdXVOrHj8r0VgK3d2sU.jpg
A Goofy Movie,15789,1995-04-07,"An endearing modern-day story about how the lovable Goof bonds with his teenage son Max on a hilarious cross-country road trip. En route to the ol' fishing hole, they find themselves up to their floppy ears in misadventure!","Romance, Animation, Family, Comedy, Adventure",https://image.tmdb.org/t/p/w500/bycmMhO3iIoEDzP768sUjq2RV4T.jpg,https://image.tmdb.org/t/p/w500/Sb2cLe2xW5OATkZZJBbGrB6qjl.jpg
"Honey, I Blew Up the Kid",11158,1992-07-16,"Wayne Szalinski is at it again. But instead of shrinking things, he tries to make a machine that can make things grow. As in the first one, his machine isn't quite accurate. But when he brings Nick & his toddler son Adam to see his invention, the machine unexpectedly starts working. And when Adam comes right up to the machine, he gets zapped along with his stuffed bunny.","Adventure, Comedy, Family, Science Fiction",https://image.tmdb.org/t/p/w500/4EGqDo2pP2ZL0TCcYDGnwsU8liQ.jpg,https://image.tmdb.org/t/p/w500/r4Vx7kne6dovybAJR4LsR4eQCxP.jpg
